Job_ID,Job_Title,Company,Company_Type,Industry,City,Location_Tier,Experience_Level,Job_Type,Work_Mode,Salary_LPA,Skills_Required,Education_Required,Openings,Applicants,Company_Rating,Date_Posted
IND2025002,Business Analyst,HAL,PSU/Govt,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.4,"JIRA, Excel, Power BI",MCA,5,559,3.6,2024-08-21
IND2025007,Business Analyst,Cisco,MNC,Information Technology,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,11.7,"Agile, Power BI, Requirements Gathering",MCA,1,75,4.3,2024-06-20
IND2025012,Data Analyst,ISRO,PSU/Govt,FinTech,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,4.4,"SQL, Tableau, Power BI, Statistics, Excel, Python",B.Tech/B.E.,3,259,3.3,2025-12-22
IND2025018,Data Engineer,Setu,Startup,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.7,"Airflow, AWS, Spark, Python, Kafka",B.Sc (CS/IT),10,798,3.9,2025-12-26
IND2025034,Data Engineer,Urban Company,Startup,FinTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,7.4,"Python, SQL, Spark, ETL, AWS",MBA,2,210,4.0,2025-07-22
IND2025037,Data Analyst,Tech Mahindra,MNC,Information Technology,Kolkata,Tier 2,Mid (3-6 yrs),Internship,On-Site,1.1,"Tableau, Power BI, Excel, SQL, Python, Statistics",B.Tech/B.E.,2,79,3.9,2024-08-06
IND2025038,Data Analyst,Deloitte,MNC,HealthTech,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,58.9,"Data Visualization, Python, Tableau, Statistics",MCA,1,94,3.7,2025-08-28
IND2025039,Data Engineer,Google,MNC,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,On-Site,17.5,"Python, Airflow, dbt, SQL",M.Tech/M.E.,1,62,4.0,2025-09-25
IND2025058,Data Engineer,MakeMyTrip,Indian Unicorn,Information Technology,Remote,Remote,Senior (6-10 yrs),Internship,Hybrid,2.6,"SQL, dbt, Spark, Python",PhD,1,75,4.1,2024-06-27
IND2025060,Business Analyst,Flipkart,Indian Unicorn,Manufacturing,Hyderabad,Tier 1,Senior (6-10 yrs),Full-Time,On-Site,42.6,"Power BI, Agile, Excel",M.Tech/M.E.,1,96,3.9,2024-08-07
IND2025070,Data Analyst,BEL,PSU/Govt,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.7,"Data Visualization, Statistics, Power BI, Excel, Tableau",BCA,2,194,4.1,2024-08-09
