Job_ID,skill,Job_Title,City,Location_Tier,Experience_Level,Work_Mode,Salary_LPA,Date_Posted
IND2025002,JIRA,Business Analyst,Remote,Remote,Senior (6-10 yrs),Remote,18.4,2024-08-21
IND2025002,Excel,Business Analyst,Remote,Remote,Senior (6-10 yrs),Remote,18.4,2024-08-21
IND2025002,Power BI,Business Analyst,Remote,Remote,Senior (6-10 yrs),Remote,18.4,2024-08-21
IND2025007,Agile,Business Analyst,Pune,Tier 1,Junior (1-3 yrs),Hybrid,11.7,2024-06-20
IND2025007,Power BI,Business Analyst,Pune,Tier 1,Junior (1-3 yrs),Hybrid,11.7,2024-06-20
IND2025007,Requirements Gathering,Business Analyst,Pune,Tier 1,Junior (1-3 yrs),Hybrid,11.7,2024-06-20
IND2025012,SQL,Data Analyst,Remote,Remote,Fresher (0-1 yr),On-Site,4.4,2025-12-22
IND2025012,Tableau,Data Analyst,Remote,Remote,Fresher (0-1 yr),On-Site,4.4,2025-12-22
IND2025012,Power BI,Data Analyst,Remote,Remote,Fresher (0-1 yr),On-Site,4.4,2025-12-22
IND2025012,Statistics,Data Analyst,Remote,Remote,Fresher (0-1 yr),On-Site,4.4,2025-12-22
IND2025012,Excel,Data Analyst,Remote,Remote,Fresher (0-1 yr),On-Site,4.4,2025-12-22
IND2025012,Python,Data Analyst,Remote,Remote,Fresher (0-1 yr),On-Site,4.4,2025-12-22
IND2025018,Airflow,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,5.7,2025-12-26
IND2025018,AWS,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,5.7,2025-12-26
IND2025018,Spark,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,5.7,2025-12-26
IND2025018,Python,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,5.7,2025-12-26
IND2025018,Kafka,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,5.7,2025-12-26
IND2025034,Python,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,7.4,2025-07-22
IND2025034,SQL,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,7.4,2025-07-22
IND2025034,Spark,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,7.4,2025-07-22
IND2025034,ETL,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,7.4,2025-07-22
IND2025034,AWS,Data Engineer,Remote,Remote,Fresher (0-1 yr),Remote,7.4,2025-07-22
IND2025037,Tableau,Data Analyst,Kolkata,Tier 2,Mid (3-6 yrs),On-Site,1.1,2024-08-06
IND2025037,Power BI,Data Analyst,Kolkata,Tier 2,Mid (3-6 yrs),On-Site,1.1,2024-08-06
IND2025037,Excel,Data Analyst,Kolkata,Tier 2,Mid (3-6 yrs),On-Site,1.1,2024-08-06
IND2025037,SQL,Data Analyst,Kolkata,Tier 2,Mid (3-6 yrs),On-Site,1.1,2024-08-06
IND2025037,Python,Data Analyst,Kolkata,Tier 2,Mid (3-6 yrs),On-Site,1.1,2024-08-06
IND2025037,Statistics,Data Analyst,Kolkata,Tier 2,Mid (3-6 yrs),On-Site,1.1,2024-08-06
IND2025038,Data Visualization,Data Analyst,Remote,Remote,Lead (10+ yrs),Remote,58.9,2025-08-28
IND2025038,Python,Data Analyst,Remote,Remote,Lead (10+ yrs),Remote,58.9,2025-08-28
IND2025038,Tableau,Data Analyst,Remote,Remote,Lead (10+ yrs),Remote,58.9,2025-08-28
IND2025038,Statistics,Data Analyst,Remote,Remote,Lead (10+ yrs),Remote,58.9,2025-08-28
IND2025039,Python,Data Engineer,Mumbai,Tier 1,Mid (3-6 yrs),On-Site,17.5,2025-09-25
IND2025039,Airflow,Data Engineer,Mumbai,Tier 1,Mid (3-6 yrs),On-Site,17.5,2025-09-25
IND2025039,dbt,Data Engineer,Mumbai,Tier 1,Mid (3-6 yrs),On-Site,17.5,2025-09-25
